study_id,reference,title,year,intervention_category,intervention_technique,type_experiment,environmental_context,economic_cost,cultural_meaning,behavior_scrutiny,suitable_for_longitudinal,control_group_scenario_prompt,intervention_group_scenario_prompt,response_instruction,response_options,n_study,n_comparison,n_control,n_intervention,binary_outcome,mean_control,sd_control,mean_intervention,sd_intervention,effect_size,effect_label,variance_d,ci_lower,ci_upper
Camilleri_2,Camilleri & Larrick (2014),Metric and scale design as choice architecture tools,2014,information,translation,artefactual_field,Other,high,low,low,1,"You are choosing one of two vehicles to purchase and gasoline costs $4.00 per gallon. The display shows: Vehicle A—price $18,000; fuel consumption 750 gallons per 15,000 miles. Vehicle B—price $21,000; fuel consumption 600 gallons per 15,000 miles.","You are choosing one of two vehicles to purchase and gasoline costs $4.00 per gallon. The display shows: Vehicle A—price $18,000; fuel cost $3,000 per 15,000 miles. Vehicle B—price $21,000; fuel cost $2,400 per 15,000 miles.",Which vehicle would you purchase?,Vehicle B (1); Vehicle A (0),484,322,161,161,1,0.473,,0.57,,0.1945,1,0.0125,-0.0246306351441453,0.4136306351441454
Camilleri_3,Camilleri & Larrick (2014),Metric and scale design as choice architecture tools,2014,information,translation,artefactual_field,Other,high,low,low,1,"You are presented with a series of choices between two vehicles. Vehicle A: Price $32789, fuel consumption 7.0 gallons per 100 miles; Vehicle B: Price $34789, fuel consumption 6.0 gallons per 100 miles.   ","You are presented with a series of choices between two vehicles. Vehicle A: Price $32789, cost of gas $28 per 100 miles; Vehicle B: Price $34789, cost of gas $24 per 100 miles.","Which vehicle do you prefer?","1 =Vehicle B, 0 = Vehicle A",424,283,142,141,1,0.672,,0.751,,0.1747,1,0.0142,-0.0588566639037657,0.4082566639037657
Camilleri_4,Camilleri & Larrick (2014),Metric and scale design as choice architecture tools,2014,information,translation,artefactual_field,Other,high,low,low,1,"You are presented with a series of choices between two vehicles. Vehicle A: Price $32789, fuel consumption 1050 gallons per 15,000 miles; Vehicle B: Price $34789, fuel consumption 900 gallons per 15,000 miles.  ","You are presented with a series of choices between two vehicles. Vehicle A: Price $32789, cost of gas $4200 per 15,000 miles; Vehicle B: Price $34789, cost of gas $3600 per 15,000 miles.","Which vehicle do you prefer?","1 =Vehicle B, 0 = Vehicle A",484,323,162,161,1,0.552,,0.57,,0.0363,0,0.0124,-0.1819523525110488,0.2545523525110489
Catlin_1,Catlin & Wang (2013),Recycling gone bad: When the option to recycle increases resource consumption,2013,structure,consequence,conventional_lab,Recycling or reuse,low,medium,low,1,"You are participating in a product evaluation study. You are asked to evaluate a new pair of scissors. To do so, you will cut shapes (such as triangles, squares, etc.) out of a stack of white paper using the scissors provided. You can use as much paper as you like, and you may cut as many shapes as you wish. After cutting, please dispose of any paper scraps in the trash can provided in the room, where they will be processed as waste. You will then continue evaluating the scissors.","You are participating in a product evaluation study. You are asked to evaluate a new pair of scissors. To do so, you will cut shapes (such as triangles, squares, etc.) out of a stack of white paper using the scissors provided. You can use as much paper as you like, and you may cut as many shapes as you wish. After cutting, please dispose of any paper scraps in the receptacles provided in the room (a recycling bin and a trash can). Paper placed in the recycling bin can be reused, while paper placed in the trash can will be processed as waste. You will then continue evaluating the scissors.",How much paper would you use for this task?,Please report the quantity of paper used (in grams).,43,43,22,21,0,9.45,,27.9,,-0.7139,-1,0.099,-1.3305882707241303,-0.0972117292758696
Chabeferret_1,Chabe-ferret et al. (2024),When Nudges Backfire: Evidence from a Randomised Field Experiment to Boost Biological Pest Control,2024,information,social_reference,natural_field,Other,high,high,high,0,"You are a wine grower managing your vineyard. You are invited to learn about a biological pest control method called mating disruption, which can be used to control grapevine moths. This technique is an alternative to chemical pesticides and can be applied to your vineyard.","You are a wine grower managing your vineyard. You are invited to learn about a biological pest control method called mating disruption, which can be used to control grapevine moths. This technique is an alternative to chemical pesticides and can be applied to your vineyard. In your region, more than 5,500 hectares of vineyards are already using this method, and a nearby cooperative plans to apply it to their entire vineyard area. The cooperative strongly promotes this method and encourages growers like you to adopt it, but no additional financial support or incentives are currently offered.'",Would you adopt this pest control method in your vineyard?,"0 = no adoption, 1 = adoption",532,532,266,266,1,0.4,,0.2,,-0.4421,-1,0.0077,-0.6141575683312818,-0.2701288076746256
Demarque_1,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,information,social_reference,conventional_lab,Green purchasing,medium,high,high,1,This shop sells several daily usage products. Some products are standard products and some are ecological products. You are shopping for everyday items with a budget.,"This shop sells several daily usage products. Some products are standard products and some are ecological products. You are shopping for everyday items with a budget. For your information, it was typical for previous participants to choose many ecological products in their purchases.",How many ecological products do you purchase?,Write a number. ,122,61,29,32,0,2.0,2.45,3.25,2.24,0.5337,1,0.0681,0.0222282552386007,1.045171744761399
Demarque_2,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,information,social_reference,conventional_lab,Green purchasing,medium,high,high,1,This shop sells several daily usage products. Some products are standard products and some are ecological products. You are shopping for everyday items with a budget.,"This shop sells several daily usage products. Some products are standard products and some are ecological products. You are shopping for everyday items with a budget. For your information, 90% of previous participants included many ecological products in their purchases.",How many ecological products do you purchase?,Write a number. ,235,78,41,37,0,1.56,2.16,2.57,2.15,0.4686,1,0.0528,0.0182345642340546,0.9189654357659454
Demarque_3,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,information,social_reference,conventional_lab,Green purchasing,medium,high,high,1,This shop sells several daily usage products. Some products are standard products and some are ecological products. You are shopping for everyday items with a budget.,"This shop sells several daily usage products. Some products are standard products and some are ecological products. You are shopping for everyday items with a budget. For your information, 70% of previous participants included many ecological products in their purchases.",How many ecological products do you purchase?,Write a number. ,235,79,41,38,0,1.56,2.16,2.29,1.84,0.3627,1,0.0515,-0.0820866109335435,0.8074866109335436
Demarque_4,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,information,social_reference,conventional_lab,Green purchasing,medium,high,high,1,"You are shopping in the Greenshop, a realistic online grocery store with 84 everyday products, including 24 eco-labeled alternatives. You have a €25 budget, and one in five participants will receive the basket they actually selected. Before shopping, the page states: “This shop sells several daily-use products.” Complete the basket as if it were your own purchase.","You are shopping in the Greenshop, a realistic online grocery store with 84 everyday products, including 24 eco-labeled alternatives. You have a €25 budget, and one in five participants will receive the basket they actually selected. Before shopping, the page states: “This shop sells several daily-use products.” It then adds: “For your information, 9% of previous participants purchased one ecological product.” Complete the basket as if it were your own purchase.","After completing your basket, how many eco-labeled products does it contain?",Enter a whole number from 0 to 24.,122,60,29,31,0,2.0,2.45,2.84,2.38,0.348,1,0.0677,-0.1619674128422249,0.8579674128422249
Demarque_5,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,information,social_reference,conventional_lab,Green purchasing,medium,high,high,1,This shop sells several daily usage products. Some products are standard products and some are ecological products. You are shopping for everyday items with a budget.,"This shop sells several daily usage products. Some products are standard products and some are ecological products. You are shopping for everyday items with a budget. For your information, it was typical for previous participants to choose many ecological products in their purchases.",How many ecological products do you purchase?,Write a number. ,235,81,41,40,0,1.56,2.16,2.22,1.83,0.3294,1,0.0501,-0.1092993126468009,0.768099312646801
Demarque_6,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,information,social_reference,conventional_lab,Green purchasing,medium,high,high,1,This shop sells several daily usage products. Some products are standard products and some are ecological products. You are shopping for everyday items with a budget.,"This shop sells several daily usage products. Some products are standard products and some are ecological products. You are shopping for everyday items with a budget. For your information, 70% of previous participants included many ecological products in their purchases.",How many ecological products do you purchase?,Write a number. ,122,59,29,30,0,2.0,2.45,2.77,2.31,0.3236,1,0.0687,-0.1901199830468797,0.8373199830468797
Demarque_7,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,information,social_reference,conventional_lab,Green purchasing,medium,high,high,1,"You are shopping in the Greenshop, a realistic online grocery store with 84 everyday products, including 24 eco-labeled alternatives. You have a €25 budget, and one in five participants will receive the basket they actually selected. Before shopping, the page states: “This shop sells several daily-use products.” Complete the basket as if it were your own purchase.","You are shopping in the Greenshop, a realistic online grocery store with 84 everyday products, including 24 eco-labeled alternatives. You have a €25 budget, and one in five participants will receive the basket they actually selected. Before shopping, the page states: “This shop sells several daily-use products.” It then adds: “For your information, 1% of previous participants purchased one ecological product.” Complete the basket as if it were your own purchase.","After completing your basket, how many eco-labeled products does it contain?",Enter a whole number from 0 to 24.,235,81,41,40,0,1.56,2.16,1.77,1.54,0.1117,1,0.0495,-0.3243644581072381,0.5477644581072381
Demarque_8,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,information,social_reference,conventional_lab,Green purchasing,medium,high,high,1,"You are shopping in the Greenshop, a realistic online grocery store with 84 everyday products, including 24 eco-labeled alternatives. You have a €25 budget, and one in five participants will receive the basket they actually selected. Before shopping, the page states: “This shop sells several daily-use products.” Complete the basket as if it were your own purchase.","You are shopping in the Greenshop, a realistic online grocery store with 84 everyday products, including 24 eco-labeled alternatives. You have a €25 budget, and one in five participants will receive the basket they actually selected. Before shopping, the page states: “This shop sells several daily-use products.” It then adds: “For your information, 9% of previous participants purchased one ecological product.” Complete the basket as if it were your own purchase.","After completing your basket, how many eco-labeled products does it contain?",Enter a whole number from 0 to 24.,235,80,41,39,0,1.56,2.16,1.67,1.9,0.054,0,0.05,-0.3842612702882907,0.4922612702882907
Dickerson_1,Dickerson et al. (1992),Using cognitive dissonanace to encourage water conservation,1992,assistance,commitment,framed_field,Other,low,high,high,1,You are on your way to take a shower after swimming.,"As you leave the pool on your way to shower, a representative of the campus water conservation office asks whether you support water conservation. After you say yes, you answer a brief survey about whether you always turn off the water while soaping, whether you always shower as briefly as possible or sometimes linger, the length of a water-efficient shower, and your usual shower length. You then print your name on a flyer that reads: “Please conserve water. Take shorter showers. Turn showers off while soaping up. If I can do it, so can you!” The flyer will be attached to posters distributed around campus. You then proceed to the shower.","How long did your shower last, measured as the total time the water was running?",Enter the duration in seconds.,60,40,20,20,0,301.8,142.32,247.7,104.05,0.434,1,0.1024,-0.1931884750528172,1.061188475052817
Dickerson_2,Dickerson et al. (1992),Using cognitive dissonanace to encourage water conservation,1992,assistance,reminder,framed_field,Energy conservation,low,medium,medium,1,You are on your way to take a shower after swimming.,"You are on your way to take a shower after swimming. Before you enter, a member of the campus water conservation team greets you and asks if you support saving water. After you agree, she invites you to answer a few short questions to help raise awareness of daily water use: “Do you turn off the water while soaping or shampooing?” “Do you ever take longer showers than necessary?” “What do you think is a reasonable length of time for a quick, water-saving shower (in minutes)?” “On average, how long do you usually shower here at the Field House?” She thanks you for your input and reminds you: “Every second counts. A shorter shower saves both water and energy.” You realize that you should save time during your shower to conserve water resources. You then proceed to take your shower as usual.",How long did you spend taking a shower this time?(You usually take a shower for about 300 seconds),Please output actual duration of your shower in seconds.,60,40,20,20,0,301.8,142.32,248.3,146.07,0.371,1,0.1017,-0.2540410883010753,0.9960410883010752
Dinner_1,Dinner et al. (2011),Partitioning default effects: Why people choose not to choose,2011,structure,default,artefactual_field,Energy conservation,medium,medium,medium,0,"You have just completed major renovations in your home. The contractor informs you that all the new light fixtures have been installed with incandescent bulbs, which are cheaper but less efficient. The contractor now asks: “Are you okay with the incandescent bulbs, or would you prefer to switch to compact fluorescent (CFL) bulbs, which are more expensive but energy efficient? If you want to switch, we can do so at no extra labor cost.","You have just completed major renovations in your home. The contractor informs you that all the new light fixtures have been installed with compact fluorescent (CFL) bulbs, which are more expensive but energy efficient. The contractor now asks: “Are you okay with the CFL bulbs, or would you prefer to switch to incandescent bulbs, which are cheaper but less efficient? If you want to switch, we can do so at no extra labor cost.",Which type of light bulbs do you choose to keep in your home?,"Incandescent bulb (0), compact fluorescent lamp (CFL) bulb (1), first output a brief reason, then output a number.",126,126,63,63,1,0.19,,0.58,,0.8294,1,0.0345,0.4653528474030495,1.1934471525969506
Dinner_2,Dinner et al. (2011),Partitioning default effects: Why people choose not to choose,2011,structure,default,artefactual_field,Energy conservation,medium,medium,medium,0,"You have just completed major renovations in your home. The contractor informs you that all the new light fixtures have been installed with incandescent bulbs, which are cheaper but less efficient. The contractor now asks: “Are you okay with the incandescent bulbs, or would you prefer to switch to compact fluorescent (CFL) bulbs, which are more expensive but energy efficient? If you want to switch, we can do so at no extra labor cost.","You have just completed major renovations in your home. The contractor informs you that all the new light fixtures have been installed with compact fluorescent (CFL) bulbs, which are more expensive but energy efficient. The contractor now asks: “Are you okay with the CFL bulbs, or would you prefer to switch to incandescent bulbs, which are cheaper but less efficient? If you want to switch, we can do so at no extra labor cost.",Which type of light bulbs do you choose to keep in your home?,"Incandescent bulb (0), compact fluorescent lamp (CFL) bulb (1), first output a number, then output a brief reason.",190,190,95,95,1,0.202,,0.438,,0.5142,1,0.0217,0.2254792761004805,0.8029207238995194
Dinner_3,Dinner et al. (2011),Partitioning default effects: Why people choose not to choose,2011,structure,default,artefactual_field,Energy conservation,medium,medium,medium,0,"You have just completed major renovations in your home. The contractor informs you that all the new light fixtures have been installed with incandescent bulbs, which are cheaper but less efficient. The contractor now asks: “Are you okay with the incandescent bulbs, or would you prefer to switch to compact fluorescent (CFL) bulbs, which are more expensive but energy efficient? If you want to switch, we can do so at no extra labor cost.","You have just completed major renovations in your home. The contractor informs you that all the new light fixtures have been installed with compact fluorescent (CFL) bulbs, which are more expensive but energy efficient. The contractor now asks: “Are you okay with the CFL bulbs, or would you prefer to switch to incandescent bulbs, which are cheaper but less efficient? If you want to switch, we can do so at no extra labor cost.",Which type of light bulbs do you choose to keep in your home?,"Incandescent bulb (0), compact fluorescent lamp (CFL) bulb (1).",126,126,63,63,1,0.236,,0.465,,0.4862,1,0.0327,0.1317769428540266,0.8406230571459734
Ebeling_1,Ebeling & Lotz (2015),Domestic uptake of green energy promoted by opt-out tariffs,2015,structure,default,natural_field,Energy conservation,medium,medium,medium,0,"You are on an energy provider’s real ordering page after entering your household size, annual electricity use, and postcode. Beneath each available contract is an unchecked box labeled “100% green (+0.3 cents per unit),” followed by an “Order now” button. You can click “Order now” as displayed or change the checkbox first.","You are on an energy provider’s real ordering page after entering your household size, annual electricity use, and postcode. Beneath each available contract is a checked box labeled “100% green (+0.3 cents per unit),” followed by an “Order now” button. You can click “Order now” as displayed or change the checkbox first.","With the ordering page in front of you, which contract setup do you submit?",Submit with 100% green energy included (1); Submit without the green-energy option (0),41952,41952,20976,20976,1,0.072,,0.691,,1.4194,1,0.0001,1.3998003601545994,1.4389996398454006
Ebeling_2,Ebeling & Lotz (2015),Domestic uptake of green energy promoted by opt-out tariffs,2015,structure,default,artefactual_field,Energy conservation,medium,medium,medium,0,"Imagine you are on an energy provider’s ordering page after entering your household size, annual electricity use, and postcode. Beneath each available contract is an unchecked box labeled “100% green (+0.3 cents per unit),” followed by an “Order now” button. You can click “Order now” as displayed or change the checkbox first.","Imagine you are on an energy provider’s ordering page after entering your household size, annual electricity use, and postcode. Beneath each available contract is a checked box labeled “100% green (+0.3 cents per unit),” followed by an “Order now” button. You can click “Order now” as displayed or change the checkbox first.","With the ordering page in front of you, which contract setup do you submit?",Submit with 100% green energy included (1); Submit without the green-energy option (0),290,290,145,145,1,0.3416,,0.938,,1.3899,1,0.0171,1.1336014517523176,1.6461985482476822
Everett_1,Everett et al. (2015),Doing good by doing nothing? The role of social norms in explaining default effects in altruistic context,2015,structure,default,artefactual_field,Environmental donation,low,high,medium,1,"You have completed a short online task and are told that, in addition to your payment for participating, you will receive a $0.50 bonus. By default, this bonus money will be paid to you. If you would rather have this money donated to Greenpeace (an environmental charity), you can choose to do so by indicating your preference on the next page. Turn your bonus into impact — donate $0.50 to protect the planet with Greenpeace!","You have completed a short online task and are told that, in addition to your payment for participating, you will receive a $0.50 bonus. By default, this bonus money will be donated to Greenpeace (an environmental charity). If you would rather keep this money for yourself, you can choose to do so by indicating your preference on the next page. Turn your bonus into impact — donate $0.50 to protect the planet with Greenpeace!",Did you choose to donate the money to Greenpeace?,"Yes (1), No (0)",150,150,75,75,1,0.11,,0.23,,0.3242,1,0.027,0.0021450541309117,0.6462549458690883
Gong_1,Gong et al. (2017),Testing the scenario hypothesis: An experimental comparison of scenarios and forecasts for decision support in a complex decision environment,2017,information,translation,conventional_lab,Other,high,medium,high,1,"You are asked to recommend a management strategy for your community’s fishery that balances economic (profit) and environmental (fish population) objectives under uncertainty. Using a decision support tool, you explore various strategies and see their projected results, including the expected (mean) outcome and probable range (standard deviation) for both profit and fish population. You can also choose to view extreme cases (5th–95th percentile). Please use this information to select the best fishery management strategy for your community.","You are asked to recommend a management strategy for your community’s fishery that balances economic (profit) and environmental (fish population) objectives under uncertainty. Using a decision support tool, you explore various strategies and see their projected outcomes under three distinct future scenarios: 1. Resilient Fishery & Economy 2. Resilient Fishery & Vulnerable Economy 3. Vulnerable Fishery & Economy (worst case) Each scenario represents a possible future without indicating their likelihood. Please use this scenario information to select the best fishery management strategy for your community.",Which would you prefer?,"1 = A reliable strategy with moderate returns and low variability  
0 = A strategy with the potential for significantly higher long-term returns, though outcomes may vary more depending on conditions
",175,175,88,87,1,0.08,,0.25,,0.4737,1,0.0235,0.1732432106170474,0.7741567893829526
Handgraaf_1,Handgraaf et al. (2013),Public praise vs. private pay: Effects of rewards on energy conservation in the workplace,2013,information,visibility,framed_field,Green transportation,low,high,high,1,"You follow your usual work routine in the office. This week, you receive no report about your energy use, reward, or public recognition.","You follow your usual work routine in the office. Each week, you receive a Personal Energy Saving Report comparing your energy use with your baseline. A table visible to colleagues also displays your name, a score from 5.0 to 10.0 based on your savings, and a short positive performance comment.",how much energy did you save this week compared to last week?,"Enter the amount of energy you saved compared to last week (0–100, number only):
“__”",32,32,16,16,0,0.43,4.27,3.74,6.05,0.6321,1,0.1312,-0.0778291494755439,1.342029149475544
Hedlin_1,Hedlin & Sunstein (2016),Does active choosing promote green energy use? Experimental evidence,2016,structure,default,artefactual_field,Energy conservation,medium,medium,medium,0,Assume your state government offers every household the option of joining a new green-energy program supplied by a provider that is more environmentally friendly than your current provider. You are not enrolled. You may opt in to the green provider or make no change and keep your current provider.,"Assume your state government cancels all existing energy plans and requires every household to choose a provider. You must choose either a new green provider that is more environmentally friendly than your previous provider or another, less environmentally friendly provider, including the provider you used before.",Which provider do you choose in the situation shown?,The new green-energy provider (1); The current or another non-green provider (0),1037,1037,345,346,1,0.69,,0.82,,0.3047,1,0.0059,0.1541523097417455,0.4552476902582545
Hedlin_2,Hedlin & Sunstein (2016),Does active choosing promote green energy use? Experimental evidence,2016,structure,default,artefactual_field,Energy conservation,medium,medium,medium,0,Assume your state government offers every household the option of joining a new green-energy program supplied by a provider that is more environmentally friendly than your current provider. You are not enrolled. You may opt in to the green provider or make no change and keep your current provider.,"Assume your state government automatically enrolls every household in a new green-energy program supplied by a provider that is more environmentally friendly than the previous provider. You may stay enrolled or opt out and choose another provider, including your previous provider.",Which provider do you choose in the situation shown?,The new green-energy provider (1); The current or another non-green provider (0),1037,1037,345,346,1,0.69,,0.76,,0.1571,1,0.0058,0.0078335899807799,0.30636641001922
