study_id,reference,title,year,environmental_context,control_group_scenario_prompt,intervention_group_scenario_prompt,response_instruction,response_options,note,n_comparison,n_control,n_intervention,binary_outcome,ATE,Robust_SE,significance_binary,gpt35_llm_ATE,gpt35_llm_Robust_SE,gpt35_llm_p_value,deepseekv3_llm_ATE,deepseekv3_llm_Robust_SE,deepseekv3_llm_p_value,claudehaiku45_llm_ATE,claudehaiku45_llm_Robust_SE,claudehaiku45_llm_p_value,gpt4o_llm_ATE,gpt4o_llm_Robust_SE,gpt4o_llm_p_value,deepseekv4flash_llm_ATE,deepseekv4flash_llm_Robust_SE,deepseekv4flash_llm_p_value,gpt54_llm_ATE,gpt54_llm_Robust_SE,gpt54_llm_p_value
Paunov_3,Paunov & Grüne-Yanoff (2023),Boosting vs. nudging sustainable energy consumption: a long-term comparative field test in a residential context,2023,Energy conservation,"You are participating in an experiment. This is week {week_num}.
A web link library contains various energy-saving tips for your reference.
As of this week, your cumulative electricity usage is {cumulative_value} kWh.","You are participating in an experiment. This is week {week_num}.
Next to each device in your daily life (e.g., oven, fridge), there is a QR code you can scan to view energy-saving tips specific to that device. It is very convenient. You can scan the QR codes with your phone to receive and store the tips.
As of this week, your cumulative electricity usage is {cumulative_value} kWh.",Please output your electricity usage this week (in kWh) and your hot water usage this week (in cubic meters). ,"Output two numbers, separated by a comma.","baseline vs. boost (cumulative electricity, kWh)",43,21,22,0,-0.2458,0.1954,0,-0.396350324086077,0.7753577464395928,0.6103747698749142,0.0922167487684726,0.2033383438244069,0.6513348265266532,-0.7254137931034466,0.7880253230000505,0.3595782235408555,-0.345812807881773,0.3474984890947577,0.3222842088564568,-0.9301635467980294,0.7967163973971858,0.2458427535023786,-3.3307975369458127,0.9365420602488772,0.0006171289070646679
Paunov_4,Paunov & Grüne-Yanoff (2023),Boosting vs. nudging sustainable energy consumption: a long-term comparative field test in a residential context,2023,Energy conservation,"You are participating in an experiment. This is week {week_num}.
A web link library contains various energy-saving tips for your reference.
As of this week, your cumulative electricity usage is {cumulative_value} kWh.","You are participating in an experiment. This is week {week_num}.
A web link library contains various energy-saving tips for your reference.
Over the past several weeks, your and your friends' weekly electricity usage were as follows:
{Week_1}: You ({user_value_1} kWh), Friends ({friends_value_1} kWh)
...
You have set an energy-saving goal for yourself (10%).",Please output your electricity usage this week (in kWh) and your hot water usage this week (in cubic meters). ,"Output two numbers, separated by a comma.","baseline vs. nudge (cumulative hot water, cubic meters)",43,21,22,0,0.001,0.011,0,0.0072437345086855,0.0104828043994278,0.4913632344842551,-0.0022695580295566,0.0069763718998132,0.7456325486625821,-0.0028748768472906,0.0097779754814661,0.7694690619939177,0.0366019704433497,0.0100135951070197,0.0005548393803418,0.0056768472906404,0.0060667291801321,0.3521592756543188,0.23982068965517234,0.0344616815149113,3.104606793868925e-09
Paunov_5,Paunov & Grüne-Yanoff (2023),Boosting vs. nudging sustainable energy consumption: a long-term comparative field test in a residential context,2023,Energy conservation,"You are participating in an experiment. This is week {week_num}.
A web link library contains various energy-saving tips for your reference.
Over the past several weeks, your and your friends' weekly electricity usage were as follows:
{Week_1}: You ({user_value_1} kWh), Friends ({friends_value_1} kWh)
...
You have set an energy-saving goal for yourself (10%).","You are participating in an experiment. This is week {week_num}.
Next to each device in your daily life (e.g., oven, fridge), there is a QR code you can scan to view energy-saving tips specific to that device. It is very convenient. You can scan the QR codes with your phone to receive and store the tips.
As of this week, your cumulative electricity usage is {cumulative_value} kWh.",Please output your electricity usage this week (in kWh) and your hot water usage this week (in cubic meters). ,"Output two numbers, separated by a comma.","nudge vs. boost (cumulative hot water, cubic meters)",44,22,22,0,-0.001,0.0092,0,-0.0004615763546798,0.0102104043244909,0.9640490970507878,-0.0079921182266009,0.0058083837421969,0.1724672450831277,-0.0064177339901478,0.0096070811793936,0.5060134835356371,-0.0289428571428571,0.0101069975718359,0.005764149908102,0.0023152709359605,0.0083211005692984,0.7814454436823202,-0.27052413793103447,0.034940096639778595,1.0884204648675677e-10
Paunov_6,Paunov & Grüne-Yanoff (2023),Boosting vs. nudging sustainable energy consumption: a long-term comparative field test in a residential context,2023,Energy conservation,"You are participating in an experiment. This is week {week_num}.
A web link library contains various energy-saving tips for your reference.
As of this week, your cumulative electricity usage is {cumulative_value} kWh.","You are participating in an experiment. This is week {week_num}.
Next to each device in your daily life (e.g., oven, fridge), there is a QR code you can scan to view energy-saving tips specific to that device. It is very convenient. You can scan the QR codes with your phone to receive and store the tips.
As of this week, your cumulative electricity usage is {cumulative_value} kWh.",Please output your electricity usage this week (in kWh) and your hot water usage this week (in cubic meters). ,"Output two numbers, separated by a comma.","baseline vs. boost (cumulative hot water, cubic meters)",43,21,22,0,0.0,0.0111,0,0.0067821581540057,0.0082855170929288,0.4150392388576662,-0.0102616762561576,0.0059339271018318,0.0874661607172435,-0.0092926108374384,0.007327283378539,0.2077351945595893,0.0076591133004925,0.0043401266586695,0.0807571436578247,0.0079921182266009,0.0072768053637314,0.2757703829147313,-0.030703448275862133,0.01615633475627755,0.06036783529855594
Vivek_1,Vivek et al. (2021),Toward achieving persistent behavior change in household water conservation,2021,Water conservation,"You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.","You are participating in an water usage experiment. This is week {week_num}.
Your Water Usage were as follows:
Last week: {user_last_value} liters/day
Week before last: {user_week_before_last_value} liters/day
Previous average: {user_previous_average_value} liters/day",Please estimate the daily household water usage (in liters per day) for this period. ,Give only one number. Do not add any words.,"C0 vs. T1 (during, liters)",60,30,30,0,-3.352,11.11,0,-6.95999999999998,6.864160069655092,0.3111033560858107,17.623999999999995,1.414619934198911,0.0,10.675999999999988,6.349613852851313,0.0933196631984296,18.383999999999983,6.899150567585612,0.0079564549593422,9.363193241692471,5.683492862357255,0.1001000000000016,9.707999999999998,5.655594522027756,0.0867381543285057
Vivek_2,Vivek et al. (2021),Toward achieving persistent behavior change in household water conservation,2021,Water conservation,"You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.","You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.",Please estimate the daily household water usage (in liters per day) for this period. ,Give only one number. Do not add any words.,"C0 vs. T1 (cooling off, liters)",60,30,30,0,-21.28,13.07,0,-2.530000000000001,3.8658849568658606,0.5129541809171765,23.865,1.214438349039234,0.0,17.763999999999996,3.607850518230968,9.68232050757578e-07,15.380000000000024,4.584955925664866,0.000821098300431,14.815000000000012,3.324743927054533,9.132389831023602e-06,16.186666666666667,3.574787596830886,6.599209666724448e-06
Vivek_3,Vivek et al. (2021),Toward achieving persistent behavior change in household water conservation,2021,Water conservation,"You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.","You are participating in an water usage experiment. This is week {week_num}.
The sustainable water usage target is 50-70 liters/day. Compare your usage with this target: 
{% if user_value > 70 %}
Please note that your current water usage is above the sustainable level.
{% else %}
Congratulations! You are approaching a sustainable level of water conservation.
{% endif %}",Please estimate the daily household water usage (in liters per day) for this period. ,Give only one number. Do not add any words.,"C0 vs. T2 (during, liters)",60,30,30,0,-12.79,10.38,0,-78.124,5.278330544152511,0.0,-19.424000000000007,1.2322351520223391,0.0,-48.64800000000001,4.739218961968092,0.0,-97.972,5.017315693783314,0.0,-59.65599999999999,4.183029858270285,0.0,-158.98399999999998,3.430655281815793,0.0
Vivek_4,Vivek et al. (2021),Toward achieving persistent behavior change in household water conservation,2021,Water conservation,"You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.","You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.",Please estimate the daily household water usage (in liters per day) for this period. ,Give only one number. Do not add any words.,"C0 vs. T2 (cooling off, liters)",60,30,30,0,-25.97,13.81,1,-64.68666666666665,2.933407869493649,0.0,-5.453333333333333,1.0356037267387057,1.700206371246793e-07,-37.27749999999999,2.540216640074323,0.0,-70.60166666666666,3.725608747670105,0.0,-47.08333333333333,2.4473031693722613,0.0,-126.52333333333333,2.196117765646042,0.0
Vivek_5,Vivek et al. (2021),Toward achieving persistent behavior change in household water conservation,2021,Water conservation,"You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.","You are participating in an water usage experiment. This is week {week_num}.
Here are four practical and motivating tips to save water:
1. Wash fruits in a bowl instead of under running water��you can save a significant amount of water each time.
2. Turn off the tap while soaping your hands or doing laundry��each time you save 10-30 liters, which adds up quickly!
3. Try shortening your shower time��most sailors finish in under 1 minute. You'll not only save water but also have more time for other activities!
Your water usage last period is {user_value} liters/day.",Please estimate the daily household water usage (in liters per day) for this period. ,Give only one number. Do not add any words.,"C0 vs. T3 (during, liters)",60,30,30,0,-20.09,11.57,1,-27.163999999999987,7.056469895745198,0.0001338769578931,-23.164,1.6315765455829478,0.0,-0.5080000000000098,6.607406923218517,0.9387474068897452,-9.468000000000018,7.124854105460434,0.1845005067610701,-22.379999999999995,5.767626772455495,0.0001183635664678,-43.00800000000001,5.273311060630567,3.108624468950439e-15
Vivek_6,Vivek et al. (2021),Toward achieving persistent behavior change in household water conservation,2021,Water conservation,"You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.","You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.",Please estimate the daily household water usage (in liters per day) for this period. ,Give only one number. Do not add any words.,"C0 vs. T3 (cooling off, liters)",60,30,30,0,-30.28,13.33,1,-37.68833333333332,3.6561877092404953,0.0,-21.851666666666667,1.0044047375593947,0.0,-15.718000000000004,3.349832428913317,3.0176076037946582e-06,-3.528333333333336,4.825437725648374,0.464804311641307,-41.751666666666665,2.9721119976198485,0.0,-52.991666666666674,2.9677354959996496,0.0
